Date,Open,High,Low,Close
2020-12-20,340.0,340.0,325.0,327.0
2020-12-21,320.0,337.0,307.0,333.0
2020-12-22,347.0,347.0,337.0,343.0
2020-12-23,360.0,360.0,347.0,348.0
2020-12-24,350.0,359.0,347.0,359.0
2020-12-27,360.0,360.0,351.0,352.0
2020-12-28,354.0,360.0,347.0,353.0
2020-12-29,359.0,359.0,347.0,350.0
2020-12-30,310.0,310.0,300.0,306.0
2020-12-31,308.0,312.0,302.0,309.0
2021-01-03,312.0,320.0,309.0,320.0
2021-01-04,325.0,330.0,315.0,318.0
2021-01-05,320.0,322.0,312.0,314.0
2021-01-06,315.0,317.0,312.0,315.0
2021-01-07,315.0,318.0,313.0,315.0
2021-01-10,321.0,329.0,317.0,328.0
2021-01-11,335.0,345.0,333.0,338.0
2021-01-12,345.0,345.0,334.0,340.0
2021-01-13,345.0,345.0,338.0,339.0
2021-01-17,345.0,345.0,334.0,336.0
2021-01-18,338.0,339.0,335.0,336.0
2021-01-19,350.0,350.0,333.0,334.0
2021-01-20,350.0,350.0,328.0,333.0
2021-01-21,335.0,335.0,330.0,332.0
2021-01-24,335.0,340.0,332.0,335.0
2021-01-25,351.0,351.0,333.0,337.0
2021-01-26,353.0,353.0,334.0,336.0
2021-01-27,339.0,339.0,333.0,334.0
2021-01-28,350.0,350.0,336.0,341.0
2021-01-31,341.0,344.0,333.0,334.0
2021-02-01,330.0,351.0,330.0,348.0
2021-02-02,350.0,382.0,350.0,381.0
2021-02-03,391.0,416.0,389.0,400.0
2021-02-04,400.0,405.0,393.0,400.0
2021-02-07,408.0,410.0,396.0,400.0
2021-02-08,405.0,420.0,400.0,414.0
2021-02-09,420.0,432.0,416.0,417.0
2021-02-10,425.0,456.0,415.0,448.0
2021-02-11,455.0,464.0,449.0,452.0
2021-02-14,455.0,460.0,434.0,441.0
2021-02-15,448.0,477.0,448.0,476.0
2021-02-16,499.0,506.0,484.0,498.0
2021-02-17,500.0,506.0,485.0,500.0
2021-02-18,512.0,522.0,485.0,486.0
2021-02-21,490.0,499.0,470.0,475.0
2021-02-22,480.0,483.0,465.0,483.0
2021-02-23,487.0,487.0,460.0,474.0
2021-02-24,485.0,487.0,472.0,478.0
2021-02-25,485.0,485.0,460.0,464.0
2021-02-28,464.0,473.0,435.0,438.0
2021-03-01,438.0,451.0,427.0,448.0
2021-03-02,454.0,456.0,434.0,438.0
2021-03-03,440.0,440.0,421.0,429.0
2021-03-04,430.0,466.0,430.0,445.0
2021-03-08,453.0,462.0,434.0,462.0
2021-03-09,485.0,485.0,442.0,447.0
2021-03-10,447.0,452.0,432.0,441.0
2021-03-14,462.0,462.0,426.0,428.0
2021-03-15,431.0,431.0,415.0,420.0
2021-03-16,441.0,441.0,418.0,421.0
2021-03-17,428.0,430.0,420.0,429.0
2021-03-18,450.0,450.0,425.0,434.0
2021-03-21,455.0,455.0,428.0,438.0
2021-03-22,459.0,459.0,430.0,432.0
2021-03-23,453.0,453.0,427.0,429.0
2021-03-24,430.0,436.0,429.0,430.0
2021-03-25,432.0,435.0,427.0,428.0
2021-03-29,431.0,431.0,423.0,424.0
