Date,Open,High,Low,Close
2020-12-20,1240.0,1246.0,1175.0,1205.0
2020-12-21,1180.0,1236.0,1160.0,1231.0
2020-12-22,1292.0,1354.0,1292.0,1354.0
2020-12-23,1400.0,1489.0,1400.0,1489.0
2020-12-24,1550.0,1550.0,1403.0,1425.0
2020-12-27,1425.0,1450.0,1381.0,1384.0
2020-12-28,1380.0,1395.0,1360.0,1379.0
2020-12-29,1380.0,1400.0,1380.0,1386.0
2020-12-30,1080.0,1108.0,1048.0,1101.0
2020-12-31,1110.0,1130.0,1100.0,1100.0
2021-01-03,1100.0,1130.0,1080.0,1125.0
2021-01-04,1135.0,1136.0,1102.0,1111.0
2021-01-05,1111.0,1118.0,1095.0,1097.0
2021-01-06,1097.0,1104.0,1086.0,1096.0
2021-01-07,1042.0,1112.0,1042.0,1091.0
2021-01-10,1095.0,1134.0,1095.0,1126.0
2021-01-11,1182.0,1182.0,1120.0,1125.0
2021-01-12,1081.0,1150.0,1081.0,1140.0
2021-01-13,1130.0,1147.0,1130.0,1132.0
2021-01-17,1140.0,1140.0,1117.0,1128.0
2021-01-18,1180.0,1180.0,1115.0,1128.0
2021-01-19,1180.0,1180.0,1112.0,1117.0
2021-01-20,1172.0,1172.0,1100.0,1103.0
2021-01-21,1100.0,1110.0,1095.0,1109.0
2021-01-24,1120.0,1139.0,1109.0,1115.0
2021-01-25,1115.0,1205.0,1110.0,1176.0
2021-01-26,1190.0,1194.0,1165.0,1168.0
2021-01-27,1126.0,1186.0,1126.0,1182.0
2021-01-28,1182.0,1182.0,1129.0,1145.0
2021-01-31,1088.0,1145.0,1088.0,1110.0
2021-02-01,1065.0,1151.0,1065.0,1120.0
2021-02-02,1130.0,1140.0,1120.0,1129.0
2021-02-03,1150.0,1160.0,1110.0,1120.0
2021-02-04,1150.0,1150.0,1111.0,1116.0
2021-02-07,1116.0,1125.0,1111.0,1114.0
2021-02-08,1130.0,1180.0,1115.0,1165.0
2021-02-09,1107.0,1197.0,1107.0,1163.0
2021-02-10,1160.0,1189.0,1152.0,1176.0
2021-02-11,1180.0,1250.0,1170.0,1213.0
2021-02-14,1230.0,1242.0,1200.0,1221.0
2021-02-15,1230.0,1328.0,1230.0,1321.0
2021-02-16,1330.0,1386.0,1324.0,1365.0
2021-02-17,1433.0,1433.0,1350.0,1391.0
2021-02-18,1400.0,1405.0,1358.0,1367.0
2021-02-21,1435.0,1435.0,1335.0,1355.0
2021-02-22,1360.0,1360.0,1319.0,1319.0
2021-02-23,1300.0,1344.0,1286.0,1335.0
2021-02-24,1350.0,1375.0,1330.0,1350.0
2021-02-25,1360.0,1377.0,1314.0,1322.0
2021-02-28,1322.0,1325.0,1287.0,1296.0
2021-03-01,1259.0,1315.0,1259.0,1314.0
2021-03-02,1320.0,1323.0,1250.0,1274.0
2021-03-03,1258.0,1270.0,1226.0,1244.0
2021-03-04,1268.0,1314.0,1260.0,1300.0
2021-03-08,1300.0,1305.0,1271.0,1285.0
2021-03-09,1300.0,1300.0,1264.0,1275.0
2021-03-10,1338.0,1338.0,1252.0,1255.0
2021-03-14,1250.0,1250.0,1205.0,1215.0
2021-03-15,1208.0,1226.0,1190.0,1205.0
2021-03-16,1145.0,1225.0,1145.0,1207.0
2021-03-17,1215.0,1224.0,1200.0,1219.0
2021-03-18,1279.0,1279.0,1215.0,1243.0
2021-03-21,1250.0,1274.0,1250.0,1260.0
2021-03-22,1271.0,1295.0,1238.0,1244.0
2021-03-23,1245.0,1245.0,1229.0,1234.0
2021-03-24,1250.0,1257.0,1230.0,1239.0
2021-03-25,1246.0,1255.0,1221.0,1227.0
2021-03-29,1227.0,1243.0,1227.0,1232.0
2021-03-30,1232.0,1240.0,1230.0,1236.0
2021-03-31,1239.0,1305.0,1238.0,1294.0
2021-04-01,1294.0,1318.0,1280.0,1283.0
2021-04-04,1347.0,1347.0,1293.0,1316.0
2021-04-05,1315.0,1332.0,1303.0,1315.0
2021-04-06,1314.0,1324.0,1300.0,1311.0
2021-04-07,1310.0,1334.0,1310.0,1317.0
2021-04-08,1325.0,1339.0,1316.0,1330.0
2021-04-12,1336.0,1360.0,1320.0,1348.0
2021-04-13,1281.0,1381.0,1281.0,1380.0
2021-04-15,1449.0,1449.0,1350.0,1370.0
2021-04-18,1370.0,1370.0,1330.0,1335.0
2021-04-19,1345.0,1345.0,1310.0,1318.0
2021-04-20,1318.0,1344.0,1305.0,1315.0
2021-04-21,1380.0,1380.0,1290.0,1294.0
2021-04-22,1295.0,1307.0,1280.0,1298.0
2021-04-25,1361.0,1361.0,1255.0,1270.0
2021-04-26,1250.0,1281.0,1230.0,1235.0
2021-04-27,1231.0,1280.0,1231.0,1279.0
2021-04-28,1249.0,1300.0,1249.0,1264.0
2021-04-29,1266.0,1275.0,1257.0,1270.0
2021-05-02,1295.0,1295.0,1265.0,1275.0
2021-05-03,1300.0,1304.0,1275.0,1284.0
2021-05-04,1299.0,1299.0,1271.0,1274.0
2021-05-05,1290.0,1290.0,1265.0,1266.0
2021-05-06,1273.0,1273.0,1260.0,1265.0
2021-05-09,1265.0,1274.0,1250.0,1259.0
2021-05-10,1264.0,1273.0,1255.0,1260.0
2021-05-11,1256.0,1274.0,1256.0,1265.0
2021-05-12,1265.0,1275.0,1259.0,1262.0
2021-05-13,1270.0,1270.0,1260.0,1267.0
2021-05-16,1265.0,1300.0,1265.0,1288.0
2021-05-17,1299.0,1320.0,1299.0,1308.0
2021-05-18,1373.0,1373.0,1304.0,1308.0
2021-05-19,1373.0,1373.0,1290.0,1302.0
2021-05-20,1340.0,1340.0,1282.0,1300.0
2021-05-23,1275.0,1313.0,1275.0,1312.0
2021-05-24,1377.0,1377.0,1310.0,1320.0
2021-05-25,1286.0,1329.0,1286.0,1306.0
2021-05-27,1300.0,1302.0,1282.0,1294.0
2021-05-30,1294.0,1316.0,1294.0,1300.0
2021-05-31,1300.0,1312.0,1282.0,1285.0
2021-06-01,1285.0,1295.0,1265.0,1292.0
2021-06-02,1356.0,1356.0,1265.0,1293.0
2021-06-03,1255.0,1321.0,1255.0,1309.0
2021-06-06,1374.0,1374.0,1320.0,1330.0
2021-06-07,1350.0,1350.0,1308.0,1316.0
2021-06-08,1307.0,1321.0,1307.0,1315.0
2021-06-09,1380.0,1380.0,1289.0,1310.0
2021-06-10,1326.0,1326.0,1299.0,1304.0
2021-06-13,1305.0,1312.0,1300.0,1304.0
2021-06-14,1304.0,1330.0,1301.0,1309.0
2021-06-15,1374.0,1374.0,1295.0,1312.0
2021-06-16,1312.0,1340.0,1303.0,1308.0
2021-06-17,1308.0,1315.0,1300.0,1309.0
2021-06-20,1312.0,1312.0,1290.0,1297.0
2021-06-21,1300.0,1304.0,1284.0,1285.0
2021-06-22,1285.0,1300.0,1280.0,1298.0
2021-06-23,1362.0,1362.0,1288.0,1291.0
2021-06-24,1300.0,1300.0,1280.0,1286.0
2021-06-27,1250.0,1306.0,1250.0,1298.0
2021-06-28,1334.0,1334.0,1297.0,1302.0
2021-06-29,1310.0,1310.0,1295.0,1296.0
2021-06-30,1232.0,1315.0,1232.0,1296.0
2021-07-01,1296.0,1305.0,1293.0,1297.0
2021-07-04,1300.0,1305.0,1296.0,1298.0
2021-07-05,1360.0,1360.0,1295.0,1297.0
2021-07-06,1261.0,1303.0,1261.0,1301.0
2021-07-07,1309.0,1309.0,1297.0,1299.0
2021-07-08,1350.0,1350.0,1297.0,1317.0
2021-07-11,1317.0,1353.0,1317.0,1345.0
2021-07-12,1400.0,1400.0,1324.0,1338.0
2021-07-13,1275.0,1355.0,1275.0,1347.0
2021-07-14,1350.0,1358.0,1330.0,1349.0
2021-07-15,1350.0,1361.0,1349.0,1359.0
2021-07-18,1368.0,1440.0,1368.0,1440.0
2021-07-19,1468.0,1493.0,1450.0,1451.0
2021-07-20,1480.0,1490.0,1430.0,1454.0
2021-07-22,1454.0,1463.0,1449.0,1459.0
2021-07-25,1488.0,1500.0,1470.0,1499.5
2021-07-26,1500.0,1515.0,1480.0,1492.0
2021-07-27,1462.2,1500.0,1433.0,1489.0
2021-07-28,1500.0,1500.0,1480.0,1482.0
2021-07-29,1482.0,1490.0,1475.1,1477.0
2021-08-01,1494.0,1494.0,1466.5,1480.0
2021-08-02,1480.0,1495.0,1479.5,1487.0
2021-08-03,1500.0,1500.0,1485.0,1490.0
2021-08-04,1500.0,1500.0,1488.0,1488.9
2021-08-05,1490.0,1499.0,1482.1,1488.0
2021-08-08,1489.0,1503.0,1488.0,1494.0
2021-08-09,1499.0,1499.0,1490.0,1494.0
2021-08-10,1496.0,1522.0,1490.0,1512.0
2021-08-11,1520.0,1540.0,1512.2,1514.0
2021-08-12,1514.0,1530.0,1488.7,1519.0
2021-08-15,1520.0,1525.0,1475.0,1505.0
2021-08-16,1535.0,1560.0,1499.0,1507.4
2021-08-17,1518.0,1518.0,1489.0,1495.0
2021-08-18,1500.0,1505.0,1485.0,1495.0
2021-08-19,1500.0,1501.0,1485.0,1490.0
2021-08-24,1499.0,1499.0,1477.0,1477.0
2021-08-25,1479.0,1479.0,1448.0,1459.0
2021-08-26,1460.0,1480.1,1441.0,1450.0
2021-08-29,1430.0,1469.0,1413.0,1433.0
2021-08-31,1433.0,1433.0,1402.0,1419.0
2021-09-01,1435.0,1446.0,1408.0,1420.0
2021-09-02,1420.5,1440.0,1414.0,1418.0
2021-09-05,1420.0,1420.0,1372.0,1388.0
2021-09-06,1390.0,1445.0,1380.0,1442.0
2021-09-07,1455.0,1470.0,1419.0,1429.9
2021-09-08,1429.9,1430.0,1404.0,1415.0
2021-09-09,1410.0,1420.0,1410.0,1410.0
2021-09-12,1415.0,1447.0,1410.0,1440.0
2021-09-13,1468.8,1482.0,1440.0,1455.0
2021-09-14,1473.0,1473.0,1445.0,1453.0
2021-09-15,1470.0,1470.0,1440.0,1445.0
2021-09-16,1430.0,1440.0,1408.0,1424.5
2021-09-20,1432.0,1440.0,1380.0,1393.0
2021-09-21,1393.0,1415.0,1345.0,1389.0
2021-09-22,1415.0,1425.0,1400.0,1424.4
2021-09-23,1441.1,1455.0,1430.0,1438.0
2021-09-26,1450.0,1465.0,1427.0,1431.0
2021-09-27,1435.0,1435.0,1403.0,1415.0
2021-09-28,1415.0,1415.0,1380.0,1395.0
2021-09-29,1420.0,1420.0,1379.0,1408.0
2021-09-30,1413.0,1419.0,1401.0,1407.0
2021-10-03,1429.9,1429.9,1393.0,1395.0
2021-10-04,1392.0,1407.0,1370.0,1397.0
2021-10-05,1410.0,1410.0,1394.0,1410.0
2021-10-06,1410.0,1453.0,1410.0,1444.9
2021-10-10,1462.6,1500.0,1462.6,1474.0
2021-10-11,1503.0,1503.0,1439.9,1450.0
2021-10-17,1479.0,1507.0,1465.0,1482.0
2021-10-18,1482.0,1482.0,1448.0,1468.0
2021-10-19,1445.0,1450.0,1420.1,1431.0
2021-10-20,1459.6,1479.0,1430.0,1460.0
2021-10-21,1460.0,1480.0,1447.0,1471.0
