Date,Open,High,Low,Close
2020-12-20,1490.0,1490.0,1343.0,1350.0
2020-12-21,1300.0,1400.0,1270.0,1390.0
2020-12-22,1400.0,1455.0,1400.0,1439.0
2020-12-23,1400.0,1480.0,1380.0,1405.0
2020-12-24,1475.0,1475.0,1370.0,1376.0
2020-12-27,1380.0,1380.0,1310.0,1315.0
2020-12-28,1315.0,1346.0,1293.0,1322.0
2020-12-29,1335.0,1369.0,1315.0,1340.0
2020-12-30,1340.0,1360.0,1332.0,1339.0
2020-12-31,1346.0,1420.0,1340.0,1344.0
2021-01-03,1370.0,1478.0,1360.0,1478.0
2021-01-04,1551.0,1591.0,1490.0,1520.0
2021-01-05,1520.0,1569.0,1510.0,1535.0
2021-01-06,1540.0,1565.0,1535.0,1539.0
2021-01-07,1540.0,1590.0,1540.0,1547.0
2021-01-10,1547.0,1585.0,1547.0,1555.0
2021-01-11,1632.0,1632.0,1530.0,1540.0
2021-01-12,1563.0,1563.0,1535.0,1535.0
2021-01-13,1532.0,1575.0,1532.0,1551.0
2021-01-17,1580.0,1580.0,1530.0,1536.0
2021-01-18,1540.0,1566.0,1529.0,1533.0
2021-01-19,1550.0,1550.0,1491.0,1493.0
2021-01-20,1500.0,1508.0,1470.0,1476.0
2021-01-21,1501.0,1570.0,1466.0,1515.0
2021-01-24,1545.0,1600.0,1540.0,1576.0
2021-01-25,1576.0,1598.0,1546.0,1550.0
2021-01-26,1550.0,1560.0,1519.0,1527.0
2021-01-27,1527.0,1529.0,1506.0,1511.0
2021-01-28,1511.0,1590.0,1500.0,1523.0
2021-01-31,1550.0,1550.0,1502.0,1509.0
2021-02-01,1510.0,1638.0,1510.0,1617.0
2021-02-02,1625.0,1683.0,1624.0,1653.0
2021-02-03,1650.0,1680.0,1595.0,1606.0
2021-02-04,1600.0,1619.0,1585.0,1593.0
2021-02-07,1600.0,1628.0,1585.0,1600.0
2021-02-08,1610.0,1620.0,1575.0,1576.0
2021-02-09,1576.0,1605.0,1566.0,1578.0
2021-02-10,1600.0,1600.0,1565.0,1569.0
2021-02-11,1575.0,1585.0,1535.0,1540.0
2021-02-14,1617.0,1617.0,1530.0,1569.0
2021-02-15,1599.0,1628.0,1580.0,1604.0
2021-02-16,1624.0,1624.0,1565.0,1579.0
2021-02-17,1599.0,1599.0,1557.0,1565.0
2021-02-18,1560.0,1583.0,1550.0,1556.0
2021-02-21,1570.0,1595.0,1531.0,1545.0
2021-02-22,1545.0,1550.0,1512.0,1520.0
2021-02-23,1596.0,1596.0,1470.0,1510.0
2021-02-24,1510.0,1545.0,1492.0,1505.0
2021-02-25,1505.0,1515.0,1484.0,1487.0
2021-02-28,1500.0,1515.0,1421.0,1425.0
2021-03-01,1496.0,1496.0,1399.0,1447.0
2021-03-02,1475.0,1475.0,1405.0,1411.0
2021-03-03,1411.0,1431.0,1378.0,1380.0
2021-03-04,1311.0,1454.0,1311.0,1448.0
2021-03-08,1420.0,1470.0,1411.0,1417.0
2021-03-09,1425.0,1440.0,1395.0,1398.0
2021-03-10,1365.0,1424.0,1365.0,1410.0
2021-03-14,1420.0,1437.0,1373.0,1377.0
2021-03-15,1377.0,1406.0,1366.0,1373.0
2021-03-16,1373.0,1395.0,1356.0,1377.0
2021-03-17,1340.0,1390.0,1340.0,1381.0
2021-03-18,1400.0,1428.0,1385.0,1406.0
2021-03-21,1406.0,1456.0,1406.0,1456.0
2021-03-22,1480.0,1480.0,1420.0,1420.0
2021-03-23,1420.0,1432.0,1394.0,1410.0
2021-03-24,1411.0,1445.0,1411.0,1432.0
2021-03-25,1500.0,1500.0,1415.0,1415.0
2021-03-29,1485.0,1485.0,1399.0,1404.0
2021-03-30,1352.0,1434.0,1352.0,1402.0
2021-03-31,1410.0,1429.0,1401.0,1424.0
2021-04-01,1424.0,1476.0,1420.0,1454.0
2021-04-04,1480.0,1535.0,1452.0,1518.0
2021-04-05,1510.0,1554.0,1510.0,1510.0
2021-04-06,1528.0,1538.0,1480.0,1481.0
2021-04-07,1481.0,1503.0,1456.0,1457.0
2021-04-08,1525.0,1525.0,1430.0,1448.0
2021-04-12,1430.0,1460.0,1425.0,1439.0
2021-04-13,1441.0,1465.0,1422.0,1428.0
2021-04-15,1430.0,1453.0,1424.0,1426.0
2021-04-18,1497.0,1497.0,1415.0,1421.0
2021-04-19,1401.0,1440.0,1401.0,1407.0
2021-04-20,1402.0,1420.0,1396.0,1407.0
2021-04-21,1405.0,1425.0,1390.0,1393.0
