Date,Open,High,Low,Close
2020-12-20,427.0,427.0,405.0,405.0
2020-12-21,402.0,415.0,391.0,410.0
2020-12-22,416.0,419.0,408.0,417.0
2020-12-23,420.0,422.0,410.0,416.0
2020-12-24,420.0,430.0,414.0,419.0
2020-12-27,427.0,427.0,409.0,414.0
2020-12-28,407.0,412.0,407.0,410.0
2020-12-29,430.0,430.0,407.0,408.0
2020-12-30,392.0,399.0,385.0,387.0
2020-12-31,406.0,425.0,393.0,407.0
2021-01-03,427.0,427.0,412.0,420.0
2021-01-04,428.0,430.0,411.0,416.0
2021-01-05,421.0,421.0,410.0,417.0
2021-01-06,420.0,421.0,416.0,421.0
2021-01-07,416.0,426.0,415.0,422.0
2021-01-10,425.0,442.0,421.0,436.0
2021-01-11,439.0,468.0,439.0,457.0
2021-01-12,460.0,485.0,450.0,484.0
2021-01-13,491.0,491.0,463.0,466.0
2021-01-17,466.0,470.0,450.0,453.0
2021-01-18,455.0,462.0,449.0,449.0
2021-01-19,448.0,452.0,437.0,446.0
2021-01-20,424.0,452.0,424.0,442.0
2021-01-21,442.0,459.0,436.0,440.0
2021-01-24,462.0,462.0,440.0,445.0
2021-01-25,447.0,453.0,439.0,447.0
2021-01-26,447.0,455.0,440.0,446.0
2021-01-27,468.0,468.0,441.0,446.0
2021-01-28,445.0,446.0,434.0,438.0
2021-01-31,430.0,437.0,420.0,420.0
2021-02-01,428.0,434.0,418.0,421.0
2021-02-02,428.0,431.0,422.0,428.0
2021-02-03,435.0,437.0,425.0,430.0
2021-02-04,438.0,438.0,422.0,422.0
2021-02-07,430.0,430.0,418.0,422.0
2021-02-08,443.0,443.0,420.0,428.0
2021-02-09,436.0,439.0,428.0,429.0
2021-02-10,453.0,453.0,425.0,434.0
2021-02-11,441.0,441.0,428.0,435.0
2021-02-14,440.0,440.0,423.0,430.0
2021-02-15,430.0,438.0,428.0,432.0
2021-02-16,453.0,453.0,432.0,435.0
2021-02-17,430.0,465.0,429.0,448.0
2021-02-18,450.0,460.0,447.0,455.0
2021-02-21,455.0,463.0,447.0,450.0
2021-02-22,463.0,463.0,436.0,438.0
2021-02-23,430.0,442.0,424.0,434.0
2021-02-24,455.0,455.0,430.0,436.0
2021-02-25,439.0,439.0,424.0,429.0
2021-02-28,427.0,429.0,419.0,420.0
2021-03-01,415.0,425.0,415.0,422.0
2021-03-02,425.0,425.0,413.0,420.0
2021-03-03,428.0,428.0,409.0,417.0
2021-03-04,420.0,421.0,412.0,419.0
2021-03-08,419.0,420.0,411.0,417.0
2021-03-09,418.0,418.0,410.0,411.0
2021-03-10,417.0,417.0,408.0,409.0
2021-03-14,409.0,411.0,402.0,406.0
2021-03-15,403.0,410.0,403.0,405.0
2021-03-16,410.0,413.0,401.0,405.0
2021-03-17,413.0,413.0,405.0,406.0
2021-03-18,407.0,413.0,407.0,408.0
2021-03-21,408.0,431.0,408.0,413.0
2021-03-22,421.0,421.0,410.0,410.0
2021-03-23,410.0,411.0,407.0,409.0
